kTRBeltShort,Belt,Лента,Bande,Band,Cinta 
kTRBeltLong,Conveyor Belt,Конвейерная лента,Bande Transporteuse ,Förderband,Cinta Transportadora
kTRSpltIShort,'I' Splitter,2x разделитель широкий,'I' Séparateur ,'I' Splitter,'I' Divisor
kTRSplitILong,Conveyor Belt 'I' Splitter,2x раздел. широкий для ленты,B. Transporteuse 'I' Séparateur ,Förderband 'I' Splitter,Divisor de Cinta Transportadora 'I'
kTRSplitLShort,'L' Splitter,2x разделитель узкий,'L' Séparateur ,'L' Splitter,'L' Divisor
kTRSplitLLong,Conveyor Belt 'L' Splitter,2x раздел. узкий для ленты,B. Transporteuse 'L' Séparateur ,Förderband 'L' Splitter,Divisor de Cinta Transportadora 'L'
kTRSplitTShort,'T' Splitter,3x разделитель,'T' Séparateur ,'T' Splitter,'T' Divisor
kTRSplitTLong,Conveyor Belt 'T' Splitter,3x разделитель для ленты,B. Transporteuse 'T' 'séparateur,Förderband 'T' Splitter,Divisor de Cinta Transportadora 'T'
kTRFilterIShort,'I' Filter,2x фильтр широкий,Filtre 'I','I' Filter,'I' Filtro
kTRFilterILong,Conveyor Belt 'I' Filter,2x фильтр широкий для ленты,Filtre de Bande Transporteuse 'I',Förderband 'I' Filter,Filtro de Cinta Transportadora 'I'
kTRFilterLShort,'L' Filter,2x фильтр узкий,Filtre 'L','L' Filter,'L' Filtro
kTRFilterLLong,Conveyor Belt 'L' Filter,2x фильтр узкий для ленты,Filtre de Bande Transporteuse 'L',Förderband 'L' Filter,Filtro de Cinta Transportadora 'L'
kTRTunnelShort,Tunnel,Туннель,Tunnel,Tunnel,Túnel
kTRTunnelLong,Conveyor Belt Tunnel,Туннель в ленте,Tunnel à Bande Transporteuse,Förderbandtunnel,Túnel de Cinta Transportadora
kTROverflowIShort,'I' Overflow,Широкий избыточный фильтр,Débordement 'I','I' Überlauf,'I' Desbordamiento
kTROverflowILong,Conveyor Belt 'I' Overflow,Широк. избыт. фильтр для ленты,Débordement de la B. Transp. 'I',Förderband 'I' Überlauf,Desbordamiento de Cinta Transp. 'I'
kTROverflowLShort,'L' Overflow,Узкий избыточный фильтр,Débordement 'L','L' Überlauf,'L' Desbordamiento
kTROverflowLLong,Conveyor Belt 'L' Overflow,Узкий избыт. фильтр для ленты,Débordement de la B. Transp. 'L',Förderband 'L' Überlauf,Desbordamiento de Cinta Transp. 'L'
kTRCarrotPWorld,Carrot Plant,Морковь,Plante de Carotte,Karottenanlage,Planta de Zanahoria
kTRCarrotP,Carrot Seeds,Семена моркови,Gra. de Carotte,Karottensamen,Sem. de Zanahoria
kTRSunflowerPWorld,Sunflower Plant,Подсолнух,Plante de Tournesol,Sonnenblumenpflanze,Planta de Girasol
kTRSunflowerP,Sunflower Seeds,Семна подсолнуха,Gra. de Tournesol,Sonnenbl. Kerne,Sem. de Girasol
kTRPotatoPWorld,Potato Plant,Картошка,Plante de Pomme de Terre,Kartoffelpflanze,Planta de Papa
kTRPotatoP,Seed Potato,Семена картошки,Pom. de Terre de gra.,Samen Kartoffel,Papa de Semillas
kTRApplePWorld,Apple Tree,Яблоня,Pommier,Apfelbaum,Árbol de Manzana
kTRAppleP,Apple Sapling,Саженец яблони,Jeune Pomme,Apfelbäumchen,Ret. de Manzano
kTRCornPWorld,Corn Plant,Кукуруза,Plant de Maïs,Maispflanze,Planta de Maíz
kTRCornP,Corn Seeds,Семена кукурузы,Gra. de Maïs,Maissamen,Sem. de Maíz
kTRSeaweedPWorld,Seaweed Plant,Морские водоросли,Plante d'Algues,Seetangpflanze,Planta de Algas
kTRSeaweedP,Seaweed Spores,Споры водорослей,Spores d'Algues,Seetangsporen,Esporas de Algas
kTRWheetPWorld,Wheat Plant,Пшеница,Plante de Blé,Weizensamen,Planta de Trigo
kTRWheetP,Wheat Seeds,Семена пшеницы,Gra. de Blé,Weizensamen,Sem. de Trigo
kTRCactusPWorld,Cactus Plant,Кактус,Plante de Cactus,Kaktuspflanze,Planta de Cactus
kTRCactusP,Cactus Seeds,Семена кактуса,Gra. de Cactus,Kaktussamen,Sem. de Cactus
kTRLimePWorld,Lime Tree,Лаймовое дерево,Citronnier,Zitronenbaum,Limero
kTRLimeP,Lime Sapling,Саженец лайма,Jeune Citronnier,Zitr. Baum Setzling,Pim. de Limero
kTRStrawberryPWorld,Strawberry Plant,Клубень клубники,Plante de Fraise,Erdbeerpflanze,Planta de Fresa
kTRStrawberryP,Strawberry Seeds,Семена клубники,Gra. de Fraise,Erdbeersamen,Sem. de Fresa
kTRBambooPWorld,Bamboo Plant,Бамбук,Bambou,Bambusanlage,Planta de Bambú
kTRBambooP,Bamboo Sapling,Саженец бамбука,Jeune Bambou,Bambus-Setzling,Ret. de Bambú
kTRCoffeePWorld,Coffee Plant,Кофейное дерево,Plante de Café,Kaffeepflanze,Planta de Café
kTRCoffeeP,Coffee Seeds,Семена кофе,Gra. de café,Kaffeesamen,Sem. de Café
kTRCocoaPWorld,Cocoa Plant,Шоколадное дерево,Plante de Cacao,Kakaopflanze,Planta de Cacao
kTRCocoaP,Cocoa Seeds,Семена какао,Gra. de Cacao,Kakaosamen,Sem. de Cacao
kTRSeaCucumberPWorld,Sea Cucumber Farm,Ферма морских огурцов,Ferme d'Holothuries,Meeresgurkenfarm,Granja de Pepino de Mar
kTRSeaCucumberP,Sea Cucumber Trap,Росток морского огурца,Piège à Concombre de Mer,Meeresgurkenfalle,Trampa de Pepino de Mar
kTRRosePWorld,Rose Plant,Роза,Rosier,Rosenpflanze,Planta de Rosas
kTRRoseP,Rose Seeds,Семена розы,Gra. de Rose,Rosensamen,Sem. de Rosa
kTRPath,Path,Тропинка,Chemin,Weg,Camino
kTRSign,Sign,Знак,Panneau,Schild,Letrero
kTRBin,Trash Bin,Мусорное ведро,Poubelle,Tonne,Basura
kTRWell,Well,Колодец,Puits,Brunnen,Pozo
kTRStorageBox,Storage Box,Сундук,Boîte de Rangement,Aufbewahrungskiste,Caja de Almacenaje
kTRBufferBox,Buffer Box,Хранилище,Boîte Tampon,Pufferbox,Caja de Búfer
kTRFactoryUpgrade,Factory Upgrade Module,Модуль обновления завода,Puce de Mise à Niveau d'Usine,Werkseitiges Upgrade-Modul,Módulo de Actualización de Fábrica
kTRConveyorGrease,Conveyor Grease,Смазка для конвейера,Graisse de Bande Transporteuse,Förderbandfett,Grasa Transportadora
kTRObstructionRemover,Obstruction Remover,Взрывчатка,Déboucheur,Obstruktionsentferner,Removedor de Obstrucciones
kTRLandfill,Landfill,Искусственная земля,Décharge,Deponie,Vertedero
kTRRotavator,Rotavator,Ротоватор,Motoculteur,Rotavator,Motocultor
kTRRetiremmentCottage,Retirement Cottage,Коттедж для пенсии,Maison de Retraite,Ruhestandshütte,Cabaña de Jubilación
kTRFence,Fence,Изгородь,Palissade ,Zaun,Cerca 
kTRHarvesterSmallShort,Harvester (7x7),Харвестер (7x7),Moissonneuse (7x7),Mähdrescher (7x7),Cosechadora (7x7)
kTRHarvesterSmallLong,Automatic Harvester (7x7),Автоматический харвестер (7x7),Moissonneuse Automatique (7x7),Automatischer Mähdrescher (7x7),Cosechador Automático (7x7)
kTRPump,Water Pump,Водяной насос,Pompe à Eau,Wasserpumpe,Bomba de Agua
kTRChalkQuarry,Chalk Quarry,Меловый карьер,Carrière de Craie,Kreide Steinbruch,Cantera de Tiza
kTRSaltMine,Salt Mine,Соляная шахта,Mine de Sel,Salzbergwerk,Mina de Sal
kTRHarvesterLargeShort,Harvester (9x9),Харвестер (9x9),Moissonneuse (9x9),Mähdrescher (9x9),Cosechadora (9x9)
kTRHarvesterLargeLong,Automatic Harvester (9x9),Автоматический харвестер (9x9),Moissonneuse Automatique (9x9),Automatischer Mähdrescher (9x9),Cosechador Automático (9x9)
kTRCO2Extractor,CO2 Extractor,Экстрактор CO2,Extracteur de CO2,CO2-Extraktor,Extractor de CO2
kTRFacVitamin,Vitamin Factory,Фабрика витаминов,Usine de Vitamines,Vitaminfabrik,Fábrica de Vitaminas
kTRFacVegOil,Vegetable Oil Factory,Фабрика растительного масла,Usine d'Huile Végétale,Pflanzenölfabrik,Fábrica de Aceite Vegetal
kTRFacCrisps,Potato Chip Factory,Фабрика картофельных чипсов,Usine de Croustilles,Kartoffelchipfabrik,Fábrica de Papas Fritas
kTRFacEthanol,Ethanol Factory,Фабрика этанола,Usine d'Éthanol,Ethanolfabrik,Fábrica de Etanol
kTRFacHardCider,Hard Cider Factory,Фабрика крепкого сидра,Usine de Cidre,Apfelweinfabrik,Fábrica de Sidra
kTRFacAbattoir,Abattoir,Скотобойня,Abattoir,Schlachthof,Matadero
kTRFacHydrogen,Hydrogen Factory,Фабрика водорода,Usine d'Hydrogène,Wasserstofffabrik,Fábrica de Hidrógeno
kTRFacHOil,Hydrogenated Oil Factory,Фабрика гидромасла,Usine d'Huile Hydrogénée,Hydrierte Ölfabrik,Fábrica de Petróleo Hidrogenado
kTRFacCornDog,Corn Dog Factory,Фабрика корн-догов,Usine de Chiens de Maïs,Maishundfabrik,Fábrica de Perros de Maíz
kTRFacBeer,Beer Brewery,Пивоварня,Brasserie de Bière,Bierbrauerei,Cervecería de Cerveza
kTRFacTequila,Tequila Factory,Фабрика текилы,Usine de Tequila,Tequilafabrik,Fábrica de Tequila
kTRFacHFCS,High Fructose Corn Syrup Factory,Фабрика кукурузного сиропа,Usine de Sirop de Maïs à F. Fructose,Maissirupfabrik mit Hoher Fructose,Fábrica de Jar. de Maíz de Alto Fructosa
kTRFacGelatin,Gelatin Factory,Фабрика желатина,Usine de Gélatine,Gelatinefabrik,Fábrica de Gelatina
kTRFacJelly,Jello Factory,Фабрика желе,Usine de Gelée,Geleefabrik,Fábrica de Jalea
kTRFacJelloShot,Jello-Shots Factory,Фабрика желе-шотов,Usine de Coups de Gelée,Geleeshotsfabrik,Fábrica de Chupitos de Jalea
kTRFacEmulsifiers,Emulsifiers Factory,Фабрика эмульгаторов,Usine des Émulsifiants,Emulgatorenfabrik,Fábrica de Emulsionantes
kTRFacIceCream,Ice Cream Factory,Фабрика мороженого,Fabrique de Crème Glacée,Eiscremefabrik,Fábrica de Helados
kTRFacBatteryFarm,Battery Chicken Farm,Автономная птицеферма,Élevage de Poulets en Batterie,Batterie Hühnerfarm,Granja de Pollos en Batería
kTRFacProtein,Protein Powder Factory,Фабрика протеин. порошка,Usine de Poudre de Protéines,Proteinpulverfabrik,Fábrica de Proteínas en Polvo
kTRFacChocolate,Chocolate Factory,Фабрика шоколада,Chocolaterie,Schokoladenfabrik,Fabrica de Chocolate
kTRFacPie,Meat Pie Factory,Фабрика мясных пирогов,Usine de Tourte à la Viande,Fleischpastetenfaktor,Fábrica de Pasteles de Carne
kTRFacMSG,Monosodium Glutamate Factory,Фабрика глутамата,Usine de Glutamate de Monosodium,Monosodium Glutamatfabrik,Fábrica de Glutamato de Monosódico
kTRFacTVDinner,TV-Dinner Factory,Фабрика бизнес-ланчей,Usine de Dinner de Télévision,TV-Dinner-Fabrik,Fábrica de Cena de Televisión
kTRFacCake,Chocolate Cake Factory,Фабрика шоколадных тортов,Usine de Gâteaux au Chocolat,Schokoladenkuchenfabrik,Fábrica de Pastel de Chocolate
kTRFacCaffeine,Caffeine Powder Factory,Фабрика кофеин. порошка,Usine de Poudre de Caféine,Koffeinpulverfabrik,Fábrica de Polvo de Cafeína
kTRFacEnergyDrink,Energy Drink Factory,Фабрика энергетиков,Usine de Boissons Énergisantes,Energiegetränkfabrik,Fábrica de Bebidas Energéticas
kTRFacRaveJuice,Rave Juice Factory,Фабрика соков для рэйвов,Usine de 'Jus de Rave','Rave Saft' Fabrik,Fábrica de 'Jugo de Rave'
kTRFacPerkPill,Perk Pills Factory,Фабрика убойных таблеток,Usine de Pilules Guilleret,Munterpillenfabrik,Fábrica de Píldoras de Despierto
kTRFacPackaging,Packaging Manufacturer,Производитель упаковки,Fabricant d'Emballages,Verpackungshersteller,Fabricante de Envases
kTRFacDessert,Dessert Factory,Фабрика десертов,Usine de Dessert,Dessertfabrik,Fábrica de Postres
kTRFacCateringKit,Catering Pack Factory,Фабрика упаковки для еды,Usine de Forfait Traiteur,Lebensmittelkitfabrik,Fábrica de Paquetes de Alimentos
kTRFacChineseReadyMeal,Foo Young Meal Factory,Фабрика китайской еды,Usine de Foo Young,Foo Young-Fabrik,Fábrica de Foo Young
kTRFacPartyPack,Party Pack Factory,Фабрика набор. для вечерин.,Usine de Trousse de Fête,Partypaketfabrik,Fábrica de Paquete de Fiestas
kTRFacParfume,Parfume Factory,Фабрика парфюма,Usine de Parfum,Parfümfabrik,Fábrica de Perfumes
kTRFacMiraclePowder,Miracle Powder Factory,Фабрика чудо-порошка,Usine de Poudre de Miracle,Wunderpulverfabrik,Fábrica de Polvo de Milagro
kTRFacTurkishDelight,Turkish Delight Factory,Фабрика рахат-лукума,Usine Turque de Délice,Türkische Freudenfabrik,Fábrica de Deleite Turco
kTRShop,The Shop,Магазин,La Boutique,Das Geschäft,La Tienda
kTRSales,Sales Depot,Депо продаж,Dépôt de Vente,Verkaufsdepot,Depósito de Ventas
kTRExports,Cargo Exports Depot,Депо экспорта,Dépôt d'Exportation,Depot für Frachtexportiert,Depósito de Exportación de Carga
kTRImports,Cargo Imports Depot,Депо импорта,Dépôt d'Importations,Depot für Frachtimporte,Depósito de Importaciones de Carga
kTRWarp,Plot Depot,Депо участков,Dépôt de Terrains,Depot für Grundstück,Depósito Trama
kTRSus,A Suspicious Rock,Неопознанная скала,Un Rocher Suspect,Ein verdächtiger Stein,Una Roca Sospechosa
kTRCarrotPlural,Carrots,Морковь,Carottes,Möhren,Zanahorias
kTRCarrot,Carrot,Морковь,Carotte,Karotte,Zanahoria
kTRChalkPlural,Chalks,Мел,Craie,Kreide,Tiza
kTRChalk,Chalk,Мел,Craie,Kreide,Tiza
kTRVitaminPlural,Vitamins,Витамины,Vitamines,Vitamine,Vitaminas
kTRVitamin,Vitamins,Витамины,Vitamines,Vitamine,Vitaminas
kTRPotatoPlural,Potatoes,Картофель,Patates,Kartoffeln,Papas
kTRPotato,Potato,Картофель,Pomme de terre,Kartoffel,Papa
kTRSunflowerPlural,Sunflowers,Подсолнухи,Tournesols,Sonnenblumen,Girasoles
kTRSunflower,Sunflower,Подсолнух,Tournesol,Sonnenblume,Girasol
kTROilPlural,Vegetable Oils,Растительное масло,Les Huiles Végétales,Pflanzenöle,Aceites Vegetales
kTROil,Vegetable Oil,Растительное масло,Huile Végétale,Pflanzenöl,Aceite Vegetal
kTRSaltPlural,Salt,Соль,Sel,Salz,Sal
kTRSalt,Salt,Соль,Sel,Salz,Sal
kTRCrispsPlural,Chips,Чипсы,Croustilles,Chips,Papas Fritas
kTRCrisps,Chips,Чипсы,Croustilles,Chips,Papas Fritas
kTRApplePlural,Apples,Яблоки,Pommes,Apfel,Manzanas
kTRApple,Apple,Яблоко,Pomme,Apfel,Manzana
kTRWaterBarrelPlural,Water,Вода,Eau,Wasser,Agua
kTRWaterBarrel,Water,Вода,Eau,Wasser,Agua
kTREthanolPlural,Ethanol,Этанол,Éthanol,Ethanol,Etanol
kTREthanol,Ethanol,Этанол,Éthanol,Ethanol,Etanol
kTRHardCiderPlural,Hard Ciders,Крепкий сидр,Cidres,Apfelweine,Sidras
kTRHardCider,Hard Cider,Крепкий сидр,Cidre,Apfelwein,Sidra
kTRCornPlural,Corn,Кукуруза,Maïs,Mais,Maíz
kTRCorn,Corn,Кукуруза,Maïs,Mais,Maíz
kTRSeaweedPlural,Seaweeds,Водоросли,Algues,Seetang,Algas
kTRSeaweed,Seaweed,Водоросли,Algue,Seetang,Algas
kTRMeatPlural,Meat,Мясо,Viande,Fleisch,Carne
kTRMeat,Meat,Мясо,Viande,Fleisch,Carne
kTRHydrogenPlural,Hydrogen,Водород,Hydrogène,Wasserstoff,Hidrógeno
kTRHydrogen,Hydrogen,Водород,Hydrogène,Wasserstoff,Hidrógeno
kTRHOilPlural,H. Oils,Гидромасло,Huiles H.,H. Öle,Aceite H.
kTRHOil,H. Oil,Гидромасло,Huile H.,H. Öl,Aceite H.
kTRCornDogPlural,Corn Dogs,Корн-доги,Chiens de Maïs,Maishunde,Perros de Maíz
kTRCornDog,Corn Dog,Корн-дог,Chien de Maïs,Maishund,Perro de Maíz
kTRWheatPlural,Wheat,Пшеница,Blé,Weizen,Trigo
kTRWheat,Wheat,Пшеница,Blé,Weizen,Trigo
kTRBeerPlural,Beers,Пиво,Bières,Biere,Cervezas
kTRBeer,Beer,Пиво,Bière,Bier,Cerveza
kTRCactusPlural,Cacti,Кактусы,Cactus,Kakteen,Cactus
kTRCactus,Cactus,Кактус,Cactus,Kaktus,Cactus
kTRTequilaPlural,Tequilas,Текила,Tequilas,Tequilas,Tequilas
kTRTequila,Tequila,Текила,Tequila,Tequila,Tequila
kTRLimePlural,Limes,Лаймы,Citrons Verts,Limetten,Limas
kTRLime,Lime,Лайм,Citron Vert,Limette,Lima
kTRHFCSPlural,H.F.C.S.,Сироп,S.M.F.F.,M.H.F.Z.,J.M.A.F.
kTRHFCS,H.F.C.S.,Сироп,S.M.F.F.,M.H.F.Z.,J.M.A.F.
kTRGelatinPlural,Gelatin,Жетатин,Gélatine,Gelatine,Gelatina
kTRGelatin,Gelatin,Жетатин,Gélatine,Gelatine,Gelatina
kTRJellyPlural,Jello,Желе,Gelées,Gelees,Jaleas
kTRJelly,Jello,Желе,Gelée,Gelee,Jalea
kTRJelloShotPlural,Jello-Shots,Желе-шоты,Coups de Gelée,Gelee-Shots,Chupitos de Jalea
kTRJelloShot,Jello-Shot,Желе-шот,Coup de Gelée,Gelee-Shots,Chupitos de Jalea
kTRStrawberryPlural,Strawberries,Клубника,Fraises,Erdbeeren,Fresas
kTRStrawberry,Strawberry,Клубника,Fraise,Erdbeere,Fresa
kTREmulsifiersPlural,Emulsifiers,Эмульгаторы,Émulsifiant,Emulgatoren,Emulsionantes
kTREmulsifiers,Emulsifier,Эмульгатор,Émulsifiant,Emulgator,Emulsionante
kTRIceCreamPlural,Ice Creams,Мороженое,Glaces,Eiscreme,Helados
kTRIceCream,Ice Cream,Мороженое,Glace,Eiscreme,Helado
kTREggsPlural,Eggs,Яйца,Oeufs,Eier,Huevos
kTREggs,Egg,Яйцо,Oeuf,Ei,Huevo
kTRProteinPlural,Protein Powders,Протеин. порошок,Poudres de Protéines,Proteinpulver,Proteína en Polvo
kTRProtein,Protein Powder,Протеин. порошок,Poudre de Protéine,Proteinpulver,Proteína en Polvo
kTRCocoBeanPlural,Coco Beans,Какао-бобы,Coco Grains,Kakaobohnen,Granos de Cacaos
kTRCocoBean,Coco Bean,Какао-бобы,Coco Grain,Kakaobohne,Grano de Cacao
kTRChocolatePlural,Chocolate,Шоколад,Chocolat,Schokolade,Chocolate
